# Distance(m) MassDensity(kg/m^3)
1857820.7564151282 0.1056889193265915
1865466.1093221863 0.10568837795670964
1873111.4622292444 0.10568783436912316
1880756.8151363027 0.10568728856390053
1888402.1680433608 0.10568674054111063
1896047.5209504189 0.10568619030082245
1903692.873857477 0.1056856378431054
1911338.2267645353 0.10568508316802916
1918983.5796715934 0.10568452627566356
1926628.9325786515 0.10568396716607883
1934274.2854857096 0.10568340583934545
1941919.6383927679 0.10568284229553417
1949564.991299826 0.105682276534716
1957210.344206884 0.10568170855696225
1964855.6971139421 0.10568113836234456
1972501.0500210002 0.10568056595093471
1980146.4029280585 0.10567999132280491
1987791.7558351166 0.10567941447802755
1995437.1087421747 0.1056788354166753
2003082.4616492328 0.10567825413882119
2010727.8145562911 0.10567767064453847
2018373.1674633492 0.10567708493390063
2026018.5203704073 0.10567649700698148
2033663.8732774653 0.1056759068638552
2041309.2261845237 0.10567531450459605
2048954.5790915817 0.1056747199292787
2056599.9319986398 0.10567412313797812
2064245.2849056979 0.10567352413076947
2071890.6378127562 0.10567292290772824
2079535.9907198143 0.1056723194689302
2087181.3436268724 0.10567171381445133
2094826.6965339305 0.105671105944368
2102472.0494409888 0.1056704958587568
2110117.4023480467 0.10566988355769456
2117762.755255105 0.10566926904125848
2125408.1081621633 0.10566865230952591
2133053.4610692211 0.10566803336257462
2140698.8139762795 0.10566741220048255
2148344.1668833378 0.10566678882332799
2155989.5197903956 0.10566616323118942
2163634.8726974539 0.1056655354241457
2171280.2256045118 0.10566490540227591
2178925.5785115701 0.10566427316565941
2186570.9314186284 0.10566363871437583
2194216.2843256863 0.10566300204850515
2201861.6372327446 0.10566236316812749
2209506.9901398025 0.1056617220733234
2217152.3430468608 0.10566107876417358
2224797.6959539191 0.10566043324075911
2232443.0488609769 0.10565978550316125
2240088.4017680353 0.10565913555146164
2247733.7546750936 0.10565848338574209
2255379.1075821514 0.10565782900608478
2263024.4604892097 0.10565717241257211
2270669.8133962676 0.10565651360528681
2278315.1663033259 0.10565585258431182
2285960.5192103842 0.10565518934973039
2293605.8721174421 0.10565452390162609
2301251.2250245004 0.10565385624008268
