# Distance(m) MassDensity(kg/m^3)
443430.46860937215 0.016521627291117339
451075.8215164303 0.01652162411278096
458721.17442348844 0.01652162088011529
466366.52733054658 0.016521617593120406
474011.88023760472 0.016521614251796369
481657.23314466287 0.016521610856143242
489302.58605172101 0.016521607406161098
496947.93895877915 0.01652160390185
504593.29186583729 0.016521600343210024
512238.64477289544 0.016521596730241225
519883.99767995358 0.01652159306294369
527529.35058701166 0.016521589341317481
535174.70349406986 0.016521585565362679
542820.05640112795 0.016521581735079359
550465.40930818615 0.016521577850467584
558110.76221524423 0.016521573911527448
565756.11512230244 0.016521569918259017
573401.46802936052 0.016521565870662374
581046.82093641872 0.016521561768737598
588692.1738434768 0.01652155761248477
596337.52675053501 0.016521553401903973
603982.87965759309 0.01652154913699529
611628.23256465129 0.016521544817758801
619273.58547170938 0.016521540444194592
626918.93837876758 0.016521536016302758
634564.29128582566 0.016521531534083377
642209.64419288386 0.016521526997536541
649854.99709994195 0.01652152240666234
657500.35000700015 0.016521517761460859
665145.70291405823 0.016521513061932201
672791.05582111643 0.01652150830807645
680436.40872817452 0.016521503499893699
688081.76163523272 0.016521498637384047
695727.1145422908 0.016521493720547589
703372.467449349 0.016521488749384423
711017.82035640709 0.016521483723894642
718663.17326346529 0.016521478644078352
726308.52617052337 0.016521473509935648
733953.87907758146 0.016521468321466636
741599.23198463966 0.01652146307867141
749244.58489169774 0.016521457781550088
756889.93779875594 0.016521452430102758
764535.29070581403 0.016521447024329533
772180.64361287223 0.016521441564230525
779825.99651993031 0.016521436049805837
787471.34942698851 0.016521430481055574
795116.7023340466 0.01652142485797985
802762.0552411048 0.016521419180578777
810407.40814816288 0.016521413448852461
818052.76105522108 0.016521407662801024
825698.11396227917 0.016521401822424571
833343.46686933737 0.016521395927723226
840988.81977639545 0.0165213899786971
848634.17268345365 0.016521383975346311
856279.52559051174 0.016521377917670978
863924.87849756994 0.016521371805671221
871570.23140462802 0.016521365639347158
879215.58431168622 0.016521359418698912
886860.93721874431 0.016521353143726606
894506.29012580251 0.01652134681443037
902151.64303286059 0.016521340430810313
909796.99593991879 0.01652133399286658
917442.34884697688 0.016521327500599283
925087.70175403508 0.016521320954008562
932733.05466109316 0.016521314353094538
940378.40756815136 0.01652130769785734
948023.76047520945 0.016521300988297107
955669.11338226765 0.016521294224413965
963314.46628932573 0.016521287406208052
970959.81919638393 0.016521280533679496
978605.17210344202 0.016521273606828441
986250.5250105001 0.016521266625655014
993895.8779175583 0.016521259590159362
1001541.2308246164 0.016521252500341622
1009186.5837316746 0.016521245356201926
1016831.9366387327 0.016521238157740422
1024477.2895457909 0.016521230904957253
1032122.642452849 0.016521223597852561
1039767.9953599072 0.016521216236426484
1047413.3482669652 0.01652120882067918
1055058.7011740233 0.016521201350610783
1062704.0540810816 0.016521193826221445
1070349.4069881397 0.01652118624751131
1077994.7598951978 0.016521178614480537
1085640.1128022559 0.016521170927129274
1093285.4657093142 0.016521163185457665
1100930.8186163723 0.016521155389465868
1108576.1715234304 0.016521147539154037
1116221.5244304885 0.016521139634522331
1123866.8773375468 0.016521131675570896
1131512.2302446049 0.016521123662299898
1139157.583151663 0.016521115594709489
1146802.936058721 0.016521107472799831
1154448.2889657794 0.016521099296571081
1162093.6418728374 0.016521091066023411
1169738.9947798955 0.016521082781156972
1177384.3476869536 0.016521074441971928
1185029.7005940119 0.016521066048468452
1192675.05350107 0.016521057600646701
1200320.4064081281 0.016521049098506848
1207965.7593151862 0.016521040542049052
1215611.1122222445 0.016521031931273491
1223256.4651293026 0.016521023266180334
1230901.8180363607 0.016521014546769748
1238547.1709434188 0.016521005773041903
1246192.5238504768 0.016520996944996976
1253837.8767575352 0.01652098806263514
1261483.2296645932 0.016520979125956573
1269128.5825716513 0.016520970134961448
1276773.9354787094 0.016520961089649944
1284419.2883857677 0.016520951990022237
1292064.6412928258 0.016520942836078512
1299709.9941998839 0.016520933627818944
1307355.347106942 0.01652092436524372
1315000.7000140003 0.016520915048353017
1322646.0529210584 0.016520905677147018
1330291.4058281165 0.016520896251625915
1337936.7587351745 0.016520886771789884
1345582.1116422329 0.016520877237639123
1353227.4645492909 0.016520867649173817
1360872.817456349 0.016520858006394145
1368518.1703634071 0.016520848309300316
1376163.5232704654 0.016520838557892503
1383808.8761775235 0.01652082875217091
1391454.2290845816 0.016520818892135726
1399099.5819916397 0.016520808977787148
1406744.934898698 0.01652079900912537
1414390.2878057561 0.016520788986150583
1422035.6407128142 0.016520778908862992
1429680.9936198723 0.016520768777262797
1437326.3465269306 0.016520758591350191
1444971.6994339887 0.016520748351125384
1452617.0523410467 0.016520738056588567
1460262.4052481048 0.016520727707739952
1467907.7581551629 0.016520717304579737
1475553.1110622212 0.016520706847108133
1483198.4639692793 0.016520696335325345
1490843.8168763374 0.016520685769231575
1498489.1697833955 0.016520675148827036
1506134.5226904538 0.016520664474111942
1513779.8755975119 0.016520653745086492
1521425.22850457 0.016520642961750907
1529070.5814116281 0.016520632124105393
1536715.9343186864 0.01652062123215017
1544361.2872257445 0.016520610285885452
1552006.6401328025 0.016520599285311455
1559651.9930398606 0.016520588230428387
